Year,MSHAID,MineName,STATE,MineCounty,MineStatus,MineType,CompanyType,OperationType,OperatingCompany,OperatingCompanyAddress,UnionCode,CoalSupplyRegion,Production,AverageEmployee,LabourHours,latitute,longitude
2013,100347,Choctaw Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",UNIT,Appalachia Southern,537429,82,215295,32.3182,86.9023
2013,101362,Manchester Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,219457,41,116914,32.3182,86.9023
2013,102996,Jap Creek Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Pkwy, Jasper, AL 35501", ,Appalachia Southern,375715,61,164093,32.3182,86.9023
2013,103155,Corinth Prep Plant,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503", ,Appalachia Southern,0,12,27996,32.3182,86.9023
2013,103155,Corinth Prep Plant,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503", ,Appalachia Southern,0,22,51994,32.3182,86.9023
2013,103195,Mccollum/Sparks Branch Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Quality Coal, Inc.","17405 Hwy 69 S, Jasper, AL 35501", ,Appalachia Southern,71910,10,17411,32.3182,86.9023
2013,103342,Reese's Branch Mine,Alabama,Walker,Active,Surface,Contractor,Mine only,"Cedar Lake Mining, Inc","2600 Warrior Jasper Road, Warrior, AL 35180", ,Appalachia Southern,263888,56,115123,32.3182,86.9023
2013,103370,Cresent Valley Mine,Alabama,Walker,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Reed Minerals, Inc","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,2860,1,621,32.3182,86.9023
2013,103372,Cane Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Cane Creek Llc,"P.O. Box 1253, Cullman, AL 35056", ,Appalachia Southern,66258,13,32401,32.3182,86.9023
2013,103376,Town Creek,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,299167,60,176499,32.3182,86.9023
2013,103389,Carbon Hill Mine,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Mine only,Prospect Mining And Developmen,"218 Hwy 195, Jasper, AL 35503", ,Appalachia Southern,76241,37,84966,32.3182,86.9023
2013,103410,Coal Valley Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,"Xinergy Of Alabama, Inc.","2600 Warrior Jasper Rd, Warrior, AL 35180", ,Appalachia Southern,407841,59,158591,32.3182,86.9023
2013,103423,Dutton Hill Mine,Alabama,Walker,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Quality Coal Company, Inc.","17405 Hwy 69 S, Jasper, AL 35501", ,Appalachia Southern,37275,5,9162,32.3182,86.9023
2013,1519322,Ghm #25,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Green Hill Mining Inc,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,25054,2,3108,32.3182,86.9023
